text,label
barnootaa oromiyaa godina gaallaa hojii abbaairree walitti qonnaan magaalaa miiliyoona,0
bbc tv televijiinii channel youtube telegram onn media hawwiyyaan dimxii,1
sodaa sodaata sodaatin sodaatu sodaattee sodaatinaa sodate waaqayyoon sodaachuu soda,1
milkii milkaa milkiin minilk bulloo milkoofne ina milkooftu milka milkeessuuf,0
amara amaraan amaran kehil adgi dma haqi adepa dammaqsi amaras,1
galatooma galatoomaa galatoomi galatoomii galaatoomi galata nurakkisaa galaatoomii garacha baayyee,0
galatomii galatomi galatoma galatomaa mashalah bayyee dhukubaa barumsa galatom nafyad,0
minilik miniliki minilikii diqalaa diqaala ilmasaree diqalaaa abiyot abiyi buqqifamu,1
ahmed ahmad abiy abi gwal ahmadiin kaile daesh atfa kufti,1
poolisiin poolisii federaalaa pool poolisi komishiniin poolisoonni komishinii poolisiif komaandoo,0
shanee shaneee farst askeessaaa lying bunch ferst ilove shaneeeeee frist,0
opdo shame stupid good people opdos guy support trust just,0
kijibaa kijiba kijibduu kijibaan abooo kijibiin afufituu kijibduuu seerii kijibu,1
harree donkeys harreen hid salii borme yaabbate mekunin himaar kolluu,1
gown abiyi naafxanyaa muts nafaxanyaa naafxanyaaa abiyii abiyoti abiyoot abiyot,1
saree diqalaa wareeee shit sareen olumaa dhaltuu sareeeee cala filatina,1
jettu jetta jettuu jettani jettaa jettef gaallaatirra xuux duwwoota muhaammadiin,1
afrikaa afrikaan africa icc afrikaatti afrikaanonni gambia gaanfa adawaa maayila,0
dadhabbii dadhabde dadhabaa dadhabnee baressuu dadhabe dadhabee dadhaboo dadhabne dadhabina,0
narcissist narcissistic narcissism narcissists graziani zagwe rodolfo tuffatu baandiin walabummaa,1
fannoo addabaabayii fannoon fano funkel fana utaaluu madanitisaaa jan fannifama,1
beeku beeka beela beekta beekne jaanjoftuu liiqeessu buukoon nebs godhin,1
eel daani mikaa diyaaqon amaanu maakroon naataanaa ngret sane asefaa,0
jedhama jedheen jedhiini jedha gumaataaf udan jedhaan hatii komatti tedla,1
jenna jennaan jennan soquttuu baddan jaraa dhaani diddee qeeka galatnni,0
sareee saree haree sareeeeee sareeee gggggggg kennamnellee juntudhaa tede adhakee,1
odeeffannoo odeeffannoon alganesh misaa afgaaffiin gaabbine maxxansuus search asd maymehdi,0
arabaa process darfur araba arabsuu araboonni jihudaism arabootaaf laafiisuu saxilaamneraa,1
qur aanni aana arabaatiin afaan qara adawwi amanticha google arabaa,0
kijiba kijibaa kijibaadha kijibduu dhiisaa dhiisi dhageyaa balaalleffana dhisi dhaabi,1
reeffa reeffi dbate reef xaxuudha ajjeesanii harkifamu filadha duutee awwaalame,1
addis ababa ababaatti ababaan aah fibilbila hacce niiti naafxanyaaatii jaarti,0
rabbii rabbiin rabbi tataanii rabbin naftenya jaalaatti true sihaa kadhaa,1
hangaasa hangam hangasa hangaasaa hangasaa gubbisni hangee hangafaa maqbaasa hangafaati,0
haattuu opdo tolfate iss ulfiinaa jalaatuu tiger harreedha hooma rakkin,1
waaqayyo waaqayyoo hammata waaqa baasaniifii fayyinnis cuuphamuun hammaataadha barsiisu naafii,0
mali malin dette rakkoni yalaasi dhussu toko deme dawan gubba,0
waanuma fedhes barame animee dhabasiste sansheng kabajaannu hidhamuunis pharmaceutical basher,1
labsii labsite labse muddamaa labsitee labsan labsiin labsee kaasi labsuun,1
haasa haasoftu haasaa jaleewan haasofee haasaadhaan sibabalu jirtuum haasaan eshii,0
bankii coop banki bank bankiin coopbank account transfer salpha hojattotaa,0
uummata uummataa hamaata agarsituu hadhawaa dhaqabaa birmadhaa gowwomsiinaa ysmay qibirxirsee,0
kennitani liqii dhala gudiisa keennatii xiqqaadhaan juneeyidille kendotti keendoon dhirako,0
yaada waaen dhowwine ifaajee yaarabbi debisuf yaadinaa goototaa dafii qulqulluudha,0
qalamuu qaana qab hattoonni qajeelchu macaan veron tayeef subaana qalamin,0
balaa tiraafikaa balalii ngho balaaleffata balaan mudateen balaaleffannu konkolaataa sulultaatti,0
godha godhaa liqeefana godhaayii godhanuu quufni addeemsaa jalaatu hirkataa godhii,1
ajefamu ajefamuu abiyyii ajjeefamuu eergamut jibem aragalfne ajjeesseree polsin ahmdaa,1
dhugaa dhugaan marayu lagaa kedhaa user siran teesa lencumaa maqxellee,0
galatoomaa galatomii galatomi galatoma galattooma galatoomaaa galatomiidr galagalii dorgomti uuuuuuuuuuf,0
taphataan taphataa sarara taphoota beetkiing giriik tapha galchii miyuuraan jaappan,0
fayyoo fayoo fayyo faayo fayyu fayyaan lelisa sammun jagna fayisa,0
nagaan nagaa miikii miniilk dhufte laal safarii budda tayyule tanakhaa,0
gumaa gumz oraliin baasisuu gumuzee daacee gumziin gumuz araa gumaan,1
sirriidha sirba anhekaa potsitra sirriidhumatti sirbi sal awaa sobni dhageefadha,0
gondar gowwa gowwaa gojam gowaa suu anstyo torbaaf narsiistiin gonder,0
guddinni guddina haayicha gubadhukaa guddinaa baankichaa mararaa gaddina cimoo milkituu,0
abiy saree sareeeeee abiyiii      ,1
abiyii ilmasaree abiyi duttes kasisuu hataattaman tabate abiyooti nudhibe saree,1
dubartii dhiironni dhiira ashaan dubbatamne dhiiraa dubartoonni ciimina midhagu utubaafi,1
sobduu sobduuu lololololololuu sobduuuu rarraafamuu habtamu ijaartu atuuu arsiiiiii nen,1
shaneen hattuudha bittineessiti usu uffatu hattudha shaneetu hattu sobduudha ajjftee,1
bilbila nehla liqeesa bilixiginaan qaqal birbo bilbiltu bilbilu birri bilbilli,0
mallattoon mallattoo malli alaabaan habashootaaf tiruu malloo mallattoolee mallattooleen dandaha,1
abiyi saree guratidhaa albatii abiyin sare wly lamma gadhee abiy,1
abbichuu abbaasoba jiraadhu diqallaa jiraadhuu gubanee uuuuuuuuuff degungtyo salsaay singahin,0
amaara ambeh amantootaatiin sahak ateelettii derfii banufi ketlamn kegede deel,0
feesbuukii feesbuukiin maark koontiraataa eeyyame marsariitiiwwan feestivaallii almaw facebookiin feesbuukidhaan,0
atm dansaadha hundaatti babal dry bonsaadha olchuutu port tureem qabnnu,0
gantuu gantuudhaa gantuudha gantuuuu shakilak madan atuudhaa kamaal habtaamuun shanneen,1
kijiba oramo kijibakee isqeel kijibiin martu loli haasoftan barbanu callisi,1
pppppp barbadus barbaaddaa ajesu barbaannu rafaa hirribaa situ akkumattuu laattii,1
obboleessa obsa obboleettiin obboleettii debiyii obboleessaaf obboolettii ulfooftti laafeettiin oolte,0
jiraadhu jiradhu jiradhuu jirradhu jiraadhuu haabibikoo jajjabeeko wogu jajabatuu jaabaadhuu,0
diraamaan dhagefadhaa shaneen dhumatee dhumuu iraha shale dhufftee dhiheessinaa dhukaasaru,1
industirii general berhe industry fisha jeneraal selase tesfaye engineering tesfay,1
akkamitti akkasitti dandeessa arr akkami hidhatan himbi ajja beeksifta akkasidhaa,1
dogoggora dogoggorri dogoggoraa dogoggore dogoggorre qaxxaamursi dogogora dogmaa finciluu qubeessuu,0
gammaddan hojjettoota maamiltoota hundaaf hojjettootaa jsbaadhaa cichitanii sinjaalladha koorraan galatoomsadha,0
dhukkuba tiruu tufsuumaal dukitor shayiins digaa dhukkubu tunuu laagaan postummaan,0
muhammad mohammed tsulul mohamed jawar mohammad ghalbituu laabani qordid sdeme,0
ortodoksii boqotu tawaahidoo erinej sarbiyaa paatriyaarkiin zharekla atutya fah moggaasuunyookaanitti,0
liivarpuul piriimer liigii siitiin maanchistar laampaard totanhaam taphoota chelsiin eevartan,0
dubbisuu dandeettiin barbadeessuutu hinnaftuu feettuu barateeti baradhuu mortuu tigiraayiin dandeettii,1
kab geda zbel dek andi gujle kem hager dma zeikones,0
amaraa dawuuun dawuun ahamed ppppppp abiyiii ppppp naafxanyaaa kolenl etopiyaa,1
dubbachuu barreessuu ogummaa dubbisuu alangaa cubbuu ogummaan dubbachaa dubbadhu dhaggeeffachuu,0
sabre wolaayitaa hewane zoom zeleke configuration wabiitiin wolaita shakkamaan hidhame,0
xumuranii xumuraa xumuramee xumuramu xumuramin xumurama eebbifama ityootelekoom xumurati xuxxuqin,1
dhufuu dhuftan etabash giddiitu dhiffama lalladhuu taayichoo dhibaam lixxee dhiqamu,0
barreessuun jaalalleewwan barreeffamichaa barreessine barreeffama barreessuu bokkaa sammuudhaa poostarri baattus,0
ajjeefame ajjeesseraa ijiran ajjeessudha ajjeese sobe ajjeesa america hate ajahaaa,1
oolti abaarii affan deebistee afaanii abaaraa dubbatuti anqateee qubaanii hamara,0
yooyyaa shanee ungashee asli wown galgalo ddw dhihaaneera dawuud fall,1
gallatomii gallatoma gallatomi gallatomaa doktoriiyee miinamiineshiin gallatoomaa gallatommii bayye ulftaa,0
ajjeessetti sigube harree muhammaad habaleesuu haruu kaawwatee allaa ishaa muca,0
hiv aids tatamsa vaayiresii dkt edsii toogoo seelii eegumsa vaayrasichi,0
odeeffannoo fanno cabsuu ilaaluti argametu mateklan mufatinaa odeeffanoo dhibaman chat,0
zealand jatti tortoortuu lolituu balaysu facaafatte bilixiginaa shaannee geettee faatii,1
sanyiidhanko maali maaliif qoratu adelende nimoona hoggaan maatii jechu zoles,1
ortodoksii ortodoksiin amantiin amantii aboin hamdoo adein zeydrdr amanuutti araartii,0
islaamaa islaamummaa sheek rahmata ustaaz islaam kasab bgoitaom meeraa namlams,0
facebook gg dubbate manifesto cufamu dubbatte page gaddisiisaa networkii kadhatu,0
abiyii gantu saree abiyyituu gababati gandumaf jon fanisuf gem gantudha,1
rabbii hafixu haballeessuu rabbin rabbi haafixu sanaafi bukee icciitiin godhii,1
zoonii nemomsa zooniin kumatar abono diribaa gidaamii inispeektar qalitii zeleman,0
feesbuukiin feesbuukii feesbuukin dhaabbatichi sobaa maark tamsa vaayrasicha feestivaali aanoo,0
fakkaatte fakkatti slob fagaattee handaaqqoo fakkaatiin falfalaaf falfalaati fakkaadhaa gaardidduu,1
labsii wixinee labsiin maree labsiiwwan mareen marichaa filiiphiinsi atattamaa hogganamuufi,0
kijibduu kijibduudhani kijibatu tuun bbs wlh odp   ,1
kiristaanaa kiristaanummaan qoratamedha aletiyaaf awwaalta kiristaanummaati kadhatte pheenxeqoostee saayinsiidhaan kadhattu,0
goolii fifa meesiin juventus riyaal galcheen taphataa taphoota maadriid tapha,0
debretsion gebremichael debretion konkiriitii miliquun rooyitarsiif debrezioon tuneel ainkhuln entezeihibu,0
haqaa waraanuka haadhake eeboon omn baaseeti hikateti insobda cinqinaa caphsaa,0
tplf hattuun        ,1
kunoo kennatani hayyichi kunooti kunuu atiif namichii alin muccaa kunooree,0
rabbiin argi hubattedha uuuuffffff gubbanee zneberkaa uifadhuu sochou muhaammad dheeradhuu,0
jimma jimmaa markaatto niikijibada kutin gabasnee barbaaddeesu jimaa duhee abaarre,0
opdo old uuuuuuuffffff nuumalle eciiiii odef dowm leeeeebbbaaa wayyaane niitii,1
