text,label
ሀይል መንግስት ሰራዊት ከተማ ሰበር ክልል መረጃ የመከላከያ ቡድን አካባቢ,0
ወሎ እውነትነው አይዴላም እንዳናስተውል ላሳየኸን እግዚአብሄርሆይምረቱንላክልን አልሀምድሊላሂ ያደረገብን ኤሄንን ታውዘንድ,0
ደስ ይላል አለሽ አለህ ያለህ ማሻ ብሎኛል የምትግደረደር ብሎናል የምትለኝ,0
አለ ፈላሻው ብትሆንልን ዛዛታ ሚኪያችን በኦሮሞና ተውትና ማንን እስላሙ አይሸኝም,0
የኢትዮጵያ ጠላት አምላክ ደራርቱ ጠላቶች የሚያስታርቁ እንዲጋቡ ቤቴክያን ነበረችግን አትሌቲክስ,1
እውነት ብለሻል ይገላልና ቁጣ እናልም መረራው ሙሉነታቸው ጅኒነውን ያወርደው ሚሰደድ,0
ሆይ ጌታ ይቅርም ድረስልን ራራላቸው አባታቸውን አቤቱ ላጡ ስጣቸው አምላኬ,0
ነፍሳቸውን ያኑርልን በገነት በአፀደ ገነት ነፍሳችሁን እግብሄር ያኑራቸው ያኑር ያኑረው,0
ይማር ነፍስ ነብስ ያማን እደዘሎቅ ተደሰታችሁ ይፍስ ገጃዮች ሂወትን በውነት,0
ቀን ያገኘዋል ጂብ ያላገባችሁ ተጋድሎው ኡፍፍፍፍፍፍፍፍበቃ አፈርሰው ማፍቀር ከእምነታችሁ አመለጠኝ,0
ያመጣኸውን አባህ ልትፈይዱ ለቀም የምትሰጣችሁን ለውድድር እሳያስም ህይወቶ አግቡኝ ትመዘዛላችሁ,0
አይነት ኔፕ አጋጣምውን ካለዛማ ሸፋኝ ምክንያትማ መሰርየ ልስልስ የተረገበት ለመጣቃም,0
ትክክል ያደርጉት ዳዉድ ኢብሳም አንደኛዉ ብልሀል ብለሻል ሚኩ ኮርማ ይገርማልኮ,0
ምስክር የአቃቤ አቃቤ ጠበቆች ህግ ፈንታሁን የማጣሪያ ዳኞች ህግም ተቃውሞውን,0
አንችልበትም መስለሀቸው ሞኞች ሰው አርጎህ ማባላቷን ይጠቀቃል ተዋዠቀ የራሳችንን አትረሳ,1
እስክንድር ነጋ የፓርቲው አቶ ስንታየሁ የባልደራስ የፍርድ የእነ ፕሬዚደንት ቸኮል,0
ሰፊዉን ካየነው የአማራ ያርፋል ባነሳ ህዝብ ፓሊስና ለዲፕሎማቲክ አያስቡም ባላም,0
አሉ የሚሉም አንችው ይሰቀል አዉዉዉ ገዢውም ዳሽ ሰዎሽ ፔሀኖች ፊቶችም,0
ጉዳይ ሀገራቸዉ አካሂያድ የእኛም አይገባምጆፎ የግለሰብና ከደንባራ ይቀንስልናል እንደሚታየዉ ዳሉና,0
አሜን ያዉርድልን የቅዱሳን ይስማለሀገራችን እንሞታለ ልመናችሁንም ፆሎታችሁን ያፅናን በገንት ይፈፅም,0
ሰላም ሻሎም ዋሉልኝ ተከሰትክ ሆንክልኝ አምሹልኝ ያለከው ከቤትህ በመጀመሪያ አሸባሪን,0
ህግ በላይነት በኦሮመኛ በህግ አቃቢ የወጡትንም ነውራሳችሁን ተቅበዝብዞ ይፃፍላቸውና ነውቅዳሴ,0
ቤት መግረፉ ማቆሚያን ማኮላሸቱና ያወደመትነሀ እንዳልተንጠለጠለበትም ሬስቱራንት የእገቡ መቁረጡ ካፌና,0
ዝም ሳስበው ከሚዘባርቅ ይድረስላቼው ቢልዝም ጪጭ አልካቹ ገደለየሚያደርጉትን አልክ ሲሰርቁ,0
ምስክር አዎ አላውቀውም የሀስት የፈንታሁን ስየም የቀረበው እንዷወል ነግራኝ ስላለችኝ,0
ወይ እየሀዴ ተብለሽ ማናው አድርጎክ ጃዋርሜንጫው ምነባክ የሚያነሳው ይቀበለዋል ፖሎትካ,1
ሌባ እንደናንተዉ ትበሳለች በእናቷ ያልተመነጠረ ሊያስመነጥር ለምዳ የምዘርፍ አትችለዉም ሀገርክን,1
ሁሉ ባያስቆም ጥጋብና ንግድን የባሪያ ተሳስቷል አንሰማም ይሀ የምትሰማ ላሀ,1
መንገድ የፈለፈሉ እንጠጦ ሲያልቅም ጉዳዮችንም በቋራ ፓርክን አልጣሽ ኢስላም ክርስትና,1
ብሎ ለወዳጆቻችን ችጋሩ እንድንታይ የየክልሉ እያልከው ልፍ አናወጣም አያስገባቸውም ከተበላ,0
መንገድ ተደርጎብህ አሳሰብከን እንድንዘጋ በሳይንሳዊ ብንጀምር የተደረሰበት ተጠንቶ አየር አትጠቀሙወንድሞቻችሁ,0
ምድረ ሁላ ይስህቑ ቢያስተምራችሁ አያልቅምና እንደሚያመልጥ ይበኽዩ ኦርጂናል ትላላቺሁ በወጠው,0
አሜን ማርያም አምላክ የድንግል ስጣች ያብስልን ድንግል ወገኖቼ ወመንፈስ የአባቶቻችን,0
ደም አልጠገበም ጣሉላቸው የንፁህ ጉራቻ ዋቃ እስክትወጣ የላትምየማይረሳ ብዛታቹህ ይዥ,0
ዝም ቃም እያገዛቹ ነፍሶብሀል የለባቹም የጣኦት አምልኮን አልልም መከፈሉ እዳችሁን,0
ያላየው ያልበረረበት ያልከፈተው ያልሰማው በአእምሮ ያላሰበው ጆሮው ጥበብና ብልሀት የአማራ,1
ነሽ አስቱ አስቴር ምርጥ በዳኔ የመናዊ ጣይቱያልተዘመረላት ጠንካራዋ የማደነቀው እረፊው,1
ደግሞ ተጨምሮላችዋልና ለነስም ቡዳዎች ስለሚረዝም ዝቅዝቄ የሚበይ እገለሀለውወንድ የስድስቱን እቪል,1
አይነት ፅሁፎች እንዳመቸ የቅርፃቅርፅ ታክቲኮች የሚቀርቡበት በየመንፈቁ የማነሳው እየረጨክ የፅሁፍም,0
ብሄር ያሰማ ድምጹን ፈረካክሳቹሁታልከዚህ እንደተበረሩሳይገለፅ ተቀነሰ ሙስሊሞችኮ ቅራኔን የማልፈልገው ወላሞ,0
ሰዉ የምትገረም ጌታቾ ሲነግርህ የምታደምጥ የምትታመን የምነግርህን የዉስጡን ሴዴቅያስን ይለዉ,0
